FI,A9_imp
010000024,11.36
010000032,18.32
010000065,54.82
010000081,13.276000000000002
010000099,59.410000000000004
010000107,52.54
010000115,58.59
010000131,58.59
010000180,6.56
010000198,6.56
010000214,6.56
010000495,12.043999999999999
010002129,13.774000000000003
010005239,9.07
010005379,13.456
010006526,13.474
010007300,0.0
010008852,14.502000000000002
010009314,11.36
010009702,11.36
010010171,16.872000000000003
010011385,13.474
010011641,15.866000000000001
010780195,4.22
010780203,4.36
010780278,39.62
010780294,9.774000000000001
010780476,15.866000000000001
010780492,12.512
010780799,33.372
010789006,13.474
010789576,54.82
010789717,9.07
020000089,51.60999999999999
020000097,45.93
020000105,56.879999999999995
020000162,11.23
020000246,49.99999999999999
020000303,12.512
020000360,0.37
020000386,17.046000000000003
020000394,14.329999999999998
020000519,13.03
020000535,13.779999999999998
020000543,10.738
020000915,12.512
020001061,13.85
020001087,17.81
020001772,13.474
020001913,13.474
020003877,14.329999999999998
020004156,16.872000000000003
020004297,15.319999999999999
020004677,13.03
020005476,14.329999999999998
020006441,13.474
020006664,11.23
020009684,14.809999999999997
020010047,2.78
020010310,34.332
020010898,18.958000000000002
020012860,13.474
020014767,17.77
020016242,13.474
020016341,13.739999999999998
020016366,11.23
020017075,13.474
020017448,13.474
020017455,13.474
020018453,13.474
030000012,17.52
030000061,16.28
030000079,17.52
030000087,10.67
030000095,65.49
030000160,14.765999999999998
030001689,18.548
030002208,54.17
030003669,12.867999999999999
030003719,13.474
030003768,13.474
030007942,54.17
030008726,13.646
030780548,2.56
030781116,6.980000000000001
030781637,17.52
030785430,1.76
040000036,7.610000000000001
040000044,20.0
040000069,15.76
040000093,15.76
040000119,39.57
040000127,6.249999999999999
040000135,11.34
040000911,11.3
040003113,13.474
040780389,24.729999999999997
040780405,15.177999999999999
040780470,0.48
040780488,15.524000000000001
040780520,12.718
040782021,39.62
040784860,15.551999999999998
040787541,13.474
040788440,15.76
050000041,15.744000000000002
050000058,25.368
050000066,21.374
050000090,0.27
050000132,14.46
050000223,62.22
050000231,8.12
050000256,15.4
050000298,12.56
050000348,11.34
050000454,16.858
050000488,15.628000000000002
050000637,16.938
050000991,13.412
050001064,31.808
050002351,14.502000000000002
050006022,13.474
050007533,4.11
050008630,8.12
060000163,42.11
060000296,26.09
060000304,35.21
060000411,41.82
060000478,13.769999999999998
060000486,43.33
060000494,22.0
060000510,16.19
060000528,4.518000000000001
060000544,14.71
060000551,40.294
060001625,36.51
060002102,12.3
060005469,30.689999999999998
060006558,19.931999999999995
060010899,12.44
060010949,6.68
060015328,14.501999999999999
060019213,16.462
060019627,23.23
060019676,13.474
060021094,31.937999999999995
060021201,16.558
060021276,0.0
060021342,30.86
060021417,1.57
060023694,13.739999999999998
060024551,17.041999999999998
060025285,13.474
060780145,31.808
060780186,19.307999999999996
060780277,15.402000000000003
060780343,31.201999999999995
060780350,17.3
060780392,32.828
060780442,0.0
060780459,15.866000000000001
060780491,5.33
060780517,3.2099999999999995
060780525,16.706
060780541,16.706
060780558,15.402000000000003
060780590,0.9099999999999999
060780665,31.116
060780715,2.84
060780723,1.9799999999999998
060780749,17.426
060780756,0.7
060780947,4.414
060780996,16.122
060781200,5.38
060781374,15.06
060781929,16.716
060785003,12.44
060785243,17.77
060788957,12.44
060789195,12.44
060789674,15.744000000000002
060790177,12.44
060790862,25.558000000000003
060791746,24.0
060791811,34.834
060791860,1.704
060792090,13.474
060792736,13.474
060792900,6.187999999999999
060792926,6.68
060794013,3.364
060794021,14.71
060798881,24.112000000000002
060800166,3.74
060800174,16.919999999999998
060800182,13.575999999999999
060801016,13.474
070000013,14.62
070000021,58.93000000000001
070000039,65.9
070000047,56.8
070000062,1.25
070000070,20.66
070000096,53.014
070000112,58.93000000000001
070000146,25.113999999999997
070000179,12.11
070000187,24.920000000000005
070000195,15.2
070000203,53.23
070000484,13.9
070000609,13.9
070004726,12.867999999999999
070005046,11.303999999999998
070006804,13.9
070780168,0.85
070780226,14.940000000000001
070780234,13.337999999999997
070780242,17.299999999999997
070780317,10.738
070780390,12.394000000000002
070780424,3.39
070783824,14.62
070784517,14.62
070784897,26.778
070786231,13.474
070786249,13.474
080000110,15.3
080000136,32.762
080000219,13.170000000000002
080000250,16.318
080000268,13.018
080000276,13.170000000000002
080000284,15.3
080000300,15.3
080000318,10.738
080000425,15.3
080002140,13.739999999999998
080005846,13.474
080005960,15.3
080009392,18.444000000000003
080009814,15.3
080010465,3.0340000000000003
080010473,0.5879999999999999
080010523,15.402000000000003
080011182,12.867999999999999
080011257,19.282
080011265,20.548000000000002
090000019,14.894000000000004
090000175,12.19
090000183,15.829999999999998
090001629,12.19
090002833,13.474
090003823,15.829999999999998
090784125,13.474
090784679,13.474
100000082,0.7800000000000001
100000090,14.61
100000108,11.572000000000001
100000116,59.59
100000124,0.8599999999999999
100000140,68.15
100000199,23.23
100000801,23.23
100005958,13.474
100006493,14.61
100006550,12.868000000000002
100007285,15.286000000000001
100007699,23.23
100009364,14.61
100009380,14.61
100010206,14.61
100010362,14.894000000000004
100010545,12.794
100010578,18.317999999999998
100010818,3.9559999999999995
100011477,14.502000000000002
110000023,18.77
110000049,28.31
110000056,14.58
110000189,55.07
110000247,21.69
110000262,14.502000000000002
110002953,14.58
110003118,13.980000000000002
110004413,6.187999999999999
110004421,6.187999999999999
110004439,6.187999999999999
110004942,15.524000000000003
110005048,20.099999999999998
110005246,14.58
110005311,4.192
110005394,20.099999999999998
110006137,18.77
110007259,13.474
110007580,18.77
110007598,18.77
110007630,14.894000000000004
110780152,16.706
110780194,27.898
110780202,14.886000000000001
110780228,4.14
110780236,55.07
110780483,2.96
110781283,14.58
110786324,12.044000000000002
110786746,12.754000000000001
120000039,11.58
120000054,8.41
120000070,22.77
120000088,47.27
120000096,56.47
120000153,14.862000000000002
120000237,12.98
120001748,4.192
120004569,8.56
120004668,20.69
120005228,13.474
120007554,8.56
120007786,13.474
120008248,8.41
120780135,24.0
120780143,13.225999999999999
120780283,13.402
120782263,8.41
120783097,8.56
120783188,11.58
120783618,21.792000000000005
120786959,11.58
130000235,19.732
130000409,9.74
130000433,10.738
130000516,18.32
130000565,13.89
130001225,12.129999999999999
130001258,16.51
130001647,5.404000000000001
130002215,10.79
130002496,13.131999999999998
130002827,10.27
130002835,10.49
130008048,32.63
130008238,14.639999999999999
130008253,0.23
130008287,13.474
130009079,18.444
130010648,15.081999999999999
130021488,22.188000000000006
130021819,14.700000000000001
130022619,19.51
130024268,12.868000000000002
130032758,25.86
130034002,1.704
130034044,3.0939999999999994
130034093,3.0939999999999994
130034531,0.0
130034580,14.856
130034614,13.474
130035223,13.474
130035793,15.866000000000001
130035959,13.474
130036650,13.474
130038003,0.0
130041767,7.749999999999999
130042096,1.48
130042526,13.203999999999999
130043318,14.893999999999998
130043508,14.502000000000002
130043664,6.276000000000001
130043854,14.502000000000002
130044662,13.739999999999998
130044753,0.0
130044845,13.474
130044977,14.644000000000004
130044985,14.644000000000004
130044993,14.644000000000004
130045008,14.644000000000004
130045016,14.644000000000004
130045040,14.644000000000004
130045263,52.394000000000005
130046097,13.739999999999998
130048176,18.444000000000003
130048341,13.739999999999998
130050396,13.474
130050917,1.1199999999999999
130780083,31.808
130780273,15.786
130780521,10.452
130781065,15.026
130781255,15.094
130781370,3.6399999999999997
130781438,12.512
130781479,8.53
130781768,31.808
130781834,16.558000000000003
130781867,0.3
