FI,A9_imp_2019
010000024,11.34
010000032,22.13
010000065,51.45
010000081,23.552000000000003
010000099,58.52
010000107,43.9
010000115,57.57
010000131,57.57
010000180,10.47
010000198,10.47
010000214,10.47
010000495,12.943999999999999
010002129,23.494
010005239,8.34
010005379,26.314000000000004
010006526,14.500000000000002
010007300,0.0
010008852,13.712000000000002
010009314,11.34
010009702,11.34
010010171,14.532
010780195,3.2
010780203,5.57
010780252,29.847999999999995
010780278,30.755999999999993
010780294,4.984000000000001
010780310,33.208
010780328,33.208
010780476,15.508000000000003
010780492,14.748
010780708,15.508000000000003
010780799,33.208
010786259,8.34
010789006,14.500000000000002
010789576,51.45
010789717,8.34
020000089,45.88
020000097,49.54
020000105,66.14
020000162,10.28
020000246,45.96
020000303,14.748
020000360,0.37
020000386,16.032
020000394,16.46
020000519,12.58
020000535,12.31
020000543,13.938
020000915,14.748
020001061,17.09
020001087,19.33
020001772,14.500000000000002
020001913,14.500000000000002
020003877,16.46
020004156,17.81
020004297,15.57
020004677,12.58
020005476,16.46
020006441,14.500000000000002
020006664,10.28
020009684,21.756000000000004
020010047,3.36
020010310,30.196
020010898,23.868
020012860,14.500000000000002
020014767,18.822
020016242,14.500000000000002
020016341,13.712000000000002
020016366,10.28
020017075,14.500000000000002
030000012,15.89
030000061,19.36
030000079,17.82
030000087,11.42
030000095,46.88
030000160,14.06
030001689,20.208000000000002
030002208,14.71
030003669,14.500000000000002
030003719,14.500000000000002
030003768,14.500000000000002
030007942,14.71
030780548,2.02
030781116,8.59
030781637,17.82
030785430,3.4899999999999998
040000028,28.696000000000005
040000036,14.29
040000044,11.94
040000069,35.884
040000093,13.72
040000119,26.03
040000127,11.94
040000135,11.72
040000911,15.45
040003113,14.500000000000002
040780389,23.494
040780405,14.801999999999998
040780470,0.4
040780488,14.924000000000001
040780520,22.480000000000004
040782021,29.847999999999995
040784860,24.984
040787541,14.500000000000002
050000041,15.678
050000058,29.847999999999995
050000066,19.35
050000090,0.27
050000132,26.582
050000223,59.379999999999995
050000231,9.9
050000256,27.8
050000298,32.076
050000306,31.396
050000330,42.535999999999994
050000348,11.72
050000371,14.991999999999999
050000454,17.238000000000003
050000488,24.366000000000003
050000637,33.208
050000991,14.251999999999997
050001064,23.494
050002351,16.023999999999997
