,FINESS,Raison sociale,Commune,Statut Juridique,Région
0,60010899,060010899 - INSTITUT UNIVERSITAIRE FACE ET COU,NICE,CHRU,93 - Provence-Alpes-Côte d'Azur
1,60785003,060785003 - CHU DE NICE HOPITAL PASTEUR,NICE,CHRU,93 - Provence-Alpes-Côte d'Azur
2,60788957,060788957 - CHU DE NICE HOPITAL DE CIMIEZ,NICE,CHRU,93 - Provence-Alpes-Côte d'Azur
3,60789195,060789195 - CHU DE NICE HOPITAL DE L'ARCHET,NICE,CHRU,93 - Provence-Alpes-Côte d'Azur
4,60790177,060790177 - CHU NICE CTRE DE CONVALESCENCE TENDE,TENDE,CHRU,93 - Provence-Alpes-Côte d'Azur
5,130044977,130044977 - APHM ANTENNE SMUR DE MARIGNANE,MARIGNANE,CHRU,93 - Provence-Alpes-Côte d'Azur
6,130044985,130044985 - APHM ANTENNE SMUR DE LOUVAIN,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
7,130044993,130044993 - APHM ANTENNE SMUR DE PLOMBIERES,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
8,130045008,130045008 - APHM ANTENNE SMUR D'ENDOUME,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
9,130045016,130045016 - APHM ANTENNE SMUR DE MARIGNANE,MARIGNANE,CHRU,93 - Provence-Alpes-Côte d'Azur
10,130045040,130045040 - APHM ANTENNE SMUR DE LAVERAN,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
11,130780521,130780521 - APHM HOPITAL NORD,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
12,130783236,130783236 - APHM HOPITAL DE LA CONCEPTION,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
13,130783293,130783293 - APHM HOPITAL LA TIMONE,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
14,130784234,130784234 - APHM HOPITAUX SUD SAINTE MARGUERITE,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
15,130804297,130804297 - APHM HOPITAL LA TIMONE ENFANTS,MARSEILLE,CHRU,93 - Provence-Alpes-Côte d'Azur
