finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_E1,CI_E2,CI_E3,CI_E4_v2,CI_E5,CI_E6,CI_E7_v2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_F18_D,CI_F18_O,CI_F19_D,CI_F19_O,CI_F20_D,CI_F20_O,CI_F21_D,CI_F21_O,CI_F22_D,CI_F22_O,CI_F23_D,CI_F23_O,CI_F24_D,CI_F24_O,CI_F25_D,CI_F25_O,CI_F26_D,CI_F26_O,CI_F27_D,CI_F27_O,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P12_bis,P13,P14,P15,P16,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10
010007300,CLINIQUE AMBULATOIRE CENDANEG,OQN,TAA,CLI,T1,M1,C1,,"        15,2",           0,           0,,,,,,,,,,,,,           2,,,           0,           0,           0,         829,        1209,           0,           0,           0,           0,           0,           0,        1173,,         826,           4,,,,,           1,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 1,Cataracte : 790,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Cataractes : 791,chirurgie tumeurs malignes de la peau : 173,Autres chirurgies ophtalmo : 92,Intervention  peau et tissu sous-cutané : 56,actes ORL et stomato divers : 37,Endoscopies digestives avec ou sans anesthésie : 608,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 183,"Autres séj. sans acte, avec anesthésie, en ambulatoire (Aff. myéloP., peau, sein..) : 27","Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus : 4",Explorations et surveillance pour affections myéloprolifératives et tumeurs de siège imprécis ou diffus : 3,           6,"         0,5","         3,5",           2,,"         7,7","        2,83","        4,87",,,,,,,,,,,,      268333,,,         100,         100,         100,"       274,8",,,,"     31004,3",       53812,,"         0,3",,,                                      .z,                                      .z,                                      .z
010007987,CH HAUTEVILLE,DGF,TAA,CH,T1,M1,C0,,"        27,7","        0,33","        6,56",,,           0,          78,,,          24,,,,,,,,,         598,           6,           0,           6,           0,           0,           0,           0,           0,           0,           0,           0,,           0,           2,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 4,"Chirurgie Fractures, entorses, luxations, tractions : 2",,,,Toxicomanies et alcoolisme : 329,Soins palliatifs : 188,Signes et symptômes : 24,Infections respiratoires : 14,Autres affections du système nerveux : 10,"        14,4","        12,6",,,,"      356,81","       37,18","      249,15","        2,45","        6,38","       61,65","       0,952","       1,418",,,,,,,                                      .c,,,           0,,,                                      .c,"         2,3",,,,,"        15,1",,,,"         7,5","        42,8",
010008407,CH DU HAUT BUGEY,DGF,TAA,CH,T2,M2,C2,O2,"         7,2","        0,66","        9,07",,,"        61,6","       100,8","        77,2","        42,7",          52,,           3,,           7,          20,           8,          17,           1,        4150,        1202,         727,        1680,        1416,         240,         149,           0,           0,         196,         620,        2310,,         943,          99,           1,           1,,,           3,           1,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 244,Arthroscopie du genou : 130,Hernie enfant : 1,RTU prostate : 0,Hernie adulte y compris coelioscopie : 127,"Chirurgies main, poignet : 300",Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 265,Cataractes : 244,Hernies : 150,actes ORL et stomato divers : 133,affections médicales du nouveau né : 605,Endoscopies digestives avec ou sans anesthésie : 454,Infections respiratoires : 414,Autres gastroentérites et maladies diverses du tube digestif : 271,"Explorations et surveillance pour affections endocriniennes, troubles métaboliques, nutritionnels et obésité : 243","        49,7",          26,"        9,69","         4,8","        3,23","      468,59","       71,49","      313,23","         1,2","       27,84","       54,83","       0,956","       1,056","       0,923",,,,,,      234229,"       16,77","       67,83","       54,09","       61,12","       87,79","        80,5",           7,,          29,"     14727,9","     54779,5","        39,8","         1,4","         5,5",,,,
010009132,CHIC AIN VAL DE SAONE,DGF,HP,CH,T1,M1,C0,,"        11,1","        2,53","       58,59",,,           0,"        47,3",,,          20,,,,           0,           0,           0,           0,           0,         188,          10,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          22,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 10,,,,,"Névroses, psychoses et autres troubles mentaux : 47",Signes et symptômes : 47,Troubles mentaux d'origine organique et retards mentaux : 17,Infections respiratoires : 16,Autres affections du système nerveux : 8,"        4,21","        3,19",,,,"      139,81","        9,87","       104,4","        1,48","        2,06",          22,"       1,604","       1,107",,,,,,,                                      .c,,,           0,,,                                      .c,"         1,1",,,,,"        21,4",,,,"        12,1",,
010780054,CH BOURG EN BRESSE,DGF,TAA,CH,T3,M3,C3,O4,"        13,8","        1,51","       11,36","         0,1","         0,1","        48,1","        81,5","        94,2","        55,4",         270,           6,          10,          12,          22,          68,          20,          47,,       12578,        3802,        2214,        5106,        3803,         756,        8976,       18443,       11566,        2539,        1899,        7140,,        3612,         135,           2,           3,,           1,           9,           2,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 155,Cataracte : 215,Arthroscopie du genou : 170,Hernie enfant : 2,RTU prostate : 253,Hernie adulte y compris coelioscopie : 287,"Chirurgies transurétrales, autres : 684",Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 608,"Chirurgies main, poignet : 471",Chirurgies appareil génital masculin : 433,Chirurgies utérus / annexes : 407,affections médicales du nouveau né : 1976,Infections respiratoires : 905,Endoscopies digestives avec ou sans anesthésie : 741,Signes et symptômes : 666,AVC : 651,"      166,93","      104,11","       20,74",          16,"        6,76","     1750,47","      253,35","     1142,77","        9,81","        99,9","      244,64","       1,108","       1,123","       1,014",,,,,,      249868,"       16,32","       82,76","       50,01","       56,69","       83,31","        86,4",          13,,          44,"     13193,4","     79427,4","        26,3","         1,8","         5,4",,"         9,4",          12,
010780062,CH BUGEY SUD,DGF,TAA,CH,T2,M2,C2,O2,"         9,9","        0,85","       18,32",,,"        68,2","        81,2","       101,9","        53,2",          66,           0,           4,           0,           8,          17,           8,           8,           1,        3432,        1111,         432,        1452,         971,         153,         805,           0,           0,         487,         361,        1857,,         992,         104,           1,,,,           2,           1,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 1,Cataracte : 0,Arthroscopie du genou : 109,Hernie enfant : 1,RTU prostate : 44,Hernie adulte y compris coelioscopie : 117,Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 225,Intervention  peau et tissu sous-cutané : 167,Hernies : 158,"Chirurgies main, poignet : 132","Chirurgies transurétrales, autres : 110",Infections respiratoires : 350,affections médicales du nouveau né : 348,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 277,Endoscopies digestives avec ou sans anesthésie : 264,Symptômes digestifs : 252,"       30,77","        20,8","        6,58",,"        1,29","      355,64","       52,89","      244,33","        1,74","        24,7","       31,98","        0,91","       0,947","       0,935",,,,,,      302465,"       17,73","       73,74","       46,64","       55,12","       85,19","        55,2","         3,9",,          31,"     32052,5","     68260,5","        21,6",,"         8,1",,"         8,6","        11,2",
010780096,CH DE TREVOUX - MONTPENSIER,DGF,TAA,CH,T1,M1,C1,,"        20,1","        1,56","       54,82",,,           0,"        79,6",,,          59,,,,,,,,,        1561,          99,           0,           8,           1,           0,           0,           0,           0,           0,           0,           9,,          23,          37,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 1,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 40,Trauma crâniens : 22,"Occlusions, sub-occlusions digestives : 12","Chirurgie Fractures, entorses, luxations, tractions : 9",Intervention  peau et tissu sous-cutané : 6,Infections respiratoires : 210,"Cardiopathies, valvulopathies : 147",Soins palliatifs : 119,Autres affections du système nerveux : 98,"Autres Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs siège imprécis ou diffus : 85","       16,95","       15,39",,,,"      242,85","       23,05","      199,83","        7,22","         3,6","        9,15","        0,97","       0,891",,,,,,,                                      .c,,,           1,           0,           0,                                      .c,"         4,5",,,,,"        19,7",,,,,,
010780120,CH DE MEXIMIEUX,DGF,HP,CH,T1,M1,C0,,"        20,6","        0,59","       59,41",,,           0,"        67,7",,,          10,,,,           0,,,,,         159,          10,           0,           1,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          25,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,"Occlusions, sub-occlusions digestives : 4",Traumatismes du bassin et des membres : 4,Intervention  peau et tissu sous-cutané : 1,Ostéomyélites aigües (y compris vertébrales) et arthrites septiques : 1,,Infections respiratoires : 30,Signes et symptômes : 26,"Cardiopathies, valvulopathies : 8",Maladies virales et fièvres d'origine inconnue : 8,Suivi thérap.d'affections connues : 8,"        3,24","         2,2",,,,"       44,98","        3,92","       31,44","         0,5","        2,53","        6,59","       1,431","        1,96",,,,,,,                                      .c,,,           0,,,                                      .c,"         1,1",,,,,"        22,3",,,,,,
010780138,CH DE PONT DE VAUX,DGF,HP,CH,T1,M1,C0,,          22,"        1,13","       52,54",,,           0,"        36,6",,,          15,,,,,,,,,         151,          23,           0,           3,           0,           0,           0,           0,           0,           0,           0,           0,,           0,          31,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .c,,,,,,,,                                      .c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris coelioscopie : 0,Traumatismes du bassin et des membres : 10,Ostéomyélites aigües (y compris vertébrales) et arthrites septiques : 8,Intervention  peau et tissu sous-cutané : 2,"Occlusions, sub-occlusions digestives : 1","Chirurgie Fractures, entorses, luxations, tractions : 1",Maladies virales et fièvres d'origine inconnue : 20,Signes et symptômes : 18,"Cardiopathies, valvulopathies : 12",Infections respiratoires : 12,"Phlébites, varices et autres troubles vasculaires d'origine veineuse : 6","        3,08","         2,6",,,,"       37,03","        3,07","       29,34","        0,82","         0,3","         3,5","       1,284","       0,968",,,,,,,                                      .c,,,           0,,,                                      .c,"         1,8",,,,,"        44,6",,,,,,
010780195,CLINIQUE CONVERT BOURG-EN-B.,OQN,TAA,CLI,T3,M2,C3,,"         7,9","        0,35","        4,22",,,"        31,2","       134,8","        45,5",,          28,           8,           5,          10,           0,          69,          33,           0,           0,        3375,        2925,           2,        5340,        6103,           1,        3272,           0,           0,         437,           0,        7631,,        3931,          66,           1,           1,           1,           1,           8,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirurgie du sein : 89,Cataracte : 1794,Arthroscopie du genou : 246,Hernie enfant : 4,RTU prostate : 88,Hernie adulte y compris coelioscopie : 247,Cataractes : 1802,actes ORL et stomato divers : 1157,"Chirurgies main, poignet : 469",Chirurgies majeures orthopédiques (dont hanche et fémur genou) : 367,Chirurgies rachis/moelle : 354,Endoscopies digestives avec ou sans anesthésie : 1623,Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours : 1317,Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques : 1311,Cathéthérismes diagnostiques vasculaires et coronariens : 1171,Cardiologie autres : 319,"        75,8","        40,8",          19,          12,           4,"      248,43","       23,27","      199,09","        0,39",          12,"       13,68","       0,888","       0,973","       0,744",,,,,,      355243,,,"       67,39","       68,07","       91,41","        84,8",,,           0,"     55931,8","    108539,9","        41,4","         0,2",,,                                      .z,                                      .z,                                      .z
