finess,zone,A1bis,A2bis,A3bis,A4bis,A5bis
970100012,01,"         9,9","         3,5","         0,1","        15,6","         3,5"
970100020,01,"        16,4","         0,1",,"         0,1","        13,5"
970100137,01,"         2,1",           0,,,"         0,7"
970100160,01,           0,           0,,,
970100178,01,           9,"        14,7","        16,2","         9,3","        10,6"
970100186,01,           0,           0,"         0,1",           0,
970100202,01,"         1,5","         0,4","         0,2","         0,3","         1,5"
970100228,01,"        33,9","        44,8","        55,8","        17,9","        33,7"
970100244,01,"         0,2",           0,,,"         0,1"
970100285,01,"         0,7",,,,"         0,1"
970102596,01,"         3,4",           0,           0,           0,"         0,5"
970103099,01,"         0,9",           0,,,"         0,6"
970107249,01,"        16,7","        26,5",          27,"        51,7","        22,5"
970107454,01,,,,,
970111571,01,,,,,
970202156,02,"         1,8","         0,1",,,"         1,4"
970202164,02,"         0,8",           0,,,"         0,7"
970202313,02,"        18,6","        17,8","        18,5","        52,1","        19,7"
970203774,02,,,,,
970209219,02,,,,,
970211207,02,"        73,9","        75,4","        81,1","        38,8","        66,5"
970302022,03,"        49,1","        46,2","        48,2",          13,"        37,8"
970302055,03,"         3,4","         4,5","         0,5","        40,4",           2
970302071,03,"         0,3",           0,,,"         0,4"
970302121,03,"        27,9","        18,4",          39,          12,"        15,9"
970305629,03,"        11,1","        18,5","        11,9","        19,4","        12,8"
970305843,03,"         0,5",           0,,,"         0,5"
970403606,04,"         7,5","         4,5","        12,4",           4,"         3,5"
970403705,04,,,,,
970403721,04,,,,,
970403747,04,,,,,
970403754,04,,,,,
970403762,04,,,,,
970403770,04,,,,,
970404018,04,,,,,
970404109,04,"         0,4",,,,           0
970404158,04,,,,,
970404844,04,"         1,3","         2,6","         0,1","        13,7","         1,5"
970405064,04,,,,,
970405411,04,,,,"         0,3","         0,1"
970405676,04,,,,,
970407151,04,,,,,
970408589,04,"        50,6","        45,9",          45,"        16,4","        45,1"
970409991,04,,,,,
970410064,04,,,,           0,           0
970410155,04,,,,,
970411989,04,,,,,
970421038,04,"        14,6","        11,1",          18,"         4,9","         7,5"
970462024,04,"         0,3",           0,"         6,9","         2,3",           0
970462073,04,"         3,9","         7,6","         4,5","        18,9","         5,6"
970462081,04,"         4,7","         9,1","         0,1","        16,1","         5,5"
970462107,04,"        15,4","        17,1","        12,9","         9,5","        27,8"
970466751,04,           0,,,          13,"         0,2"
980500763,06,,,,"         9,8","         0,1"
750000523,11,"         2,6","         2,6","         1,7","         1,7",           2
750000549,11,"         0,7","         0,7",,"         2,6","         0,3"
750041543,11,"         0,1",           0,,           0,"         0,1"
750047318,11,,,,,
750055287,11,           0,           0,,,           0
750062036,11,"         0,6","         0,2",,           0,"         0,1"
750100018,11,"         0,4",           0,           0,           0,"         0,1"
750100042,11,"         1,5","         1,4","         1,6","         0,4","         0,6"
750100075,11,"         1,2","         1,5","         0,1","         0,4","         3,9"
750100083,11,"         0,1",           0,,           0,           0
750100091,11,"         1,7","         1,1","         0,1","         0,8","         2,1"
750100109,11,"         0,9","         0,9","         2,1","         0,4","         0,4"
750100125,11,"         3,4","         4,1","         1,7","         1,2","         4,1"
750100166,11,"         2,8","         1,9","         4,1","         1,9","         3,6"
750100208,11,"         1,5","         1,7","         1,7","         0,4","         0,9"
750100216,11,,,,,
750100232,11,"         2,4","         1,8","         1,4","         0,4","         1,4"
750100273,11,"         1,5","         1,2","         1,5","         0,6",           2
750100299,11,"         0,1",           0,,           0,"         0,1"
750110025,11,           0,"         0,4",,"         2,2","         0,1"
750150013,11,"         0,1",           0,"         1,8","         0,2",           0
750150104,11,"         0,7","         1,4","         0,9","         0,6","         1,1"
750150146,11,"         0,1","         0,1",,           0,           0
750150187,11,"         0,1",,,,"         0,3"
750150237,11,"         0,6","         1,4",           0,"         0,9","         0,9"
750150252,11,"         0,2",           0,,,           0
750150260,11,           0,,           1,"         0,2","         0,2"
750150286,11,"         0,1",,,,"         0,1"
750150344,11,           0,,,,"         0,1"
750150377,11,           0,           0,,,           0
750160012,11,"         0,4","         0,6",,"         0,5","         3,1"
750300014,11,"         0,4","         0,1",,"         0,1","         0,2"
750300071,11,"         0,5","         0,8",           0,"         1,6","         0,3"
750300089,11,           0,"         0,4",,"         0,6",           0
750300097,11,           0,"         0,1",,"         0,6","         0,1"
750300121,11,"         0,2","         0,6",,"         1,2","         0,5"
750300139,11,"         0,4","         0,4",           0,"         0,3","         0,5"
750300154,11,"         0,8","         0,9",,"         0,9","         0,4"
750300360,11,           1,"         0,6",,"         1,8","         0,8"
750300410,11,"         0,1",           0,"         0,1",           0,"         0,1"
750300493,11,           0,"         0,8",,"         0,3",           0
750300550,11,"         0,1","         0,2",,"         0,9","         0,2"
750300592,11,"         0,2","         0,4",           0,"         0,6","         0,2"
750300667,11,           0,,"         1,3",,           0
750300741,11,"         0,2",           0,,"         0,7",           0
750300766,11,"         0,3","         0,7",           0,"         0,8","         0,5"
750300774,11,           0,"         0,5",,"         1,4",           0
750300840,11,           0,"         0,4","         0,6","         1,1","         0,1"
750300857,11,           0,"         0,1",,"         0,5",           0
750300881,11,"         0,7","         0,4",           0,"         0,5","         0,3"
750300915,11,"         0,2","         0,6",           0,"         0,6","         0,2"
750300931,11,           0,           0,"         0,5",           0,           0
750301137,11,"         0,4","         0,4",           0,"         0,3","         0,3"
750301145,11,"         0,5","         0,6",,"         1,1","         0,2"
750301160,11,           0,"         0,5",,"         0,7",           0
750712184,11,,,,,
750790164,11,,,,           0,
750801441,11,"         0,3",           0,,,"         0,1"
750803447,11,           2,"         2,4","         0,1","         0,4","         2,6"
750803454,11,"         1,2","         0,7","         1,8","         0,5","         0,4"
750829053,11,,,,,
750831067,11,,,,,
770016087,11,,,,,
770020055,11,           0,,,,           0
770020477,11,"         0,4",           0,           0,           0,"         0,8"
770021145,11,"         2,4","         2,2",           4,"         1,2",           2
770021152,11,"         0,9","         0,8","         1,3","         0,5","         0,9"
770110054,11,"         1,1","         0,8","         1,9","         0,2","         0,7"
770110070,11,"         0,4","         0,4","         0,3","         0,3","         0,3"
770300010,11,"         0,3","         0,3",           0,"         0,7","         0,3"
770300135,11,"         0,3","         0,5",,"         0,6","         0,1"
770300143,11,"         0,3","         0,7",,"         1,4","         0,8"
770300192,11,           0,           0,,"         0,1",           0
770790707,11,"         0,1","         0,4","         0,3","         0,7","         0,2"
770809028,11,,,,,
770813400,11,"         0,2","         0,3",,"         0,8","         0,3"
780001236,11,"         0,9","         0,8","         2,6","         0,5","         0,8"
780002697,11,"         0,2","         0,3","         0,4","         0,2","         0,2"
780018727,11,"         0,2","         0,2","         0,3","         0,4","         0,2"
780021788,11,           0,           0,,,           0
780022737,11,           0,           0,,           0,           0
780024113,11,"         0,1",           0,,,           0
780110011,11,"         0,6","         0,5","         1,2","         0,5","         0,5"
780110052,11,"         0,5","         0,3","         0,7","         0,2","         0,3"
780110078,11,"         1,4",           1,"         1,5","         0,5","         1,1"
780130027,11,           0,           0,,,           0
780140018,11,           0,           0,,           0,"         0,1"
780150017,11,           0,           0,,,           0
780150066,11,"         0,2","         0,1",,           0,"         0,2"
780300075,11,"         0,2",           0,,           0,           0
780300125,11,"         0,3","         0,3",           0,"         0,4","         0,2"
780300208,11,"         0,2","         0,4",           0,           1,"         0,1"
780300323,11,"         0,6",           1,"         0,4","         0,8","         0,6"
780300406,11,"         0,5","         0,5","         0,5","         1,3","         0,6"
780300414,11,"         0,6","         0,6",,"         0,8","         0,6"
780300422,11,"         0,5","         0,9","         0,5","         1,9","         0,5"
780300455,11,"         0,2","         0,2",,           1,"         0,1"
780630026,11,"         0,1",,,,           0
910002609,11,,,,,
910002773,11,"         1,8","         1,2","         2,8","         0,5","         1,5"
910009349,11,           0,,,,
910015965,11,           0,           0,,,           0
910019447,11,"         0,3","         0,4","         0,5","         0,2","         0,3"
910022037,11,,,,,
910100015,11,           0,           0,,,           0
910100023,11,,,,,
910100031,11,"         0,1",           0,,,"         0,1"
910110014,11,"         0,4","         0,4","         0,8","         0,2","         0,2"
910110055,11,"         1,1",           1,"         2,6","         0,3","         0,9"
910140029,11,"         0,1",,,,
910150010,11,           0,           0,,,           0
910150028,11,"         0,3",           0,           0,           0,"         0,2"
910150069,11,"         0,2",           0,,,"         0,1"
910300011,11,"         0,2","         0,3",,"         1,1","         0,2"
910300060,11,           0,           0,,,           0
910300144,11,"         0,4","         0,6","         0,5","         0,6","         0,5"
910300177,11,"         0,2",           1,"         0,4","         1,1","         0,3"
910300219,11,"         0,7","         0,8",           0,"         0,7","         0,4"
910300300,11,"         0,2","         0,2",,"         0,3","         0,2"
910300326,11,           0,           0,,,"         0,1"
910300359,11,"         0,2",           0,           0,"         0,7","         0,1"
910500040,11,           0,,,,           0
910803543,11,"         0,6","         0,8","         0,5","         1,5","         0,4"
910805357,11,"         0,2","         0,4","         0,3","         1,1","         0,1"
910813732,11,,,,,
910813963,11,,,,,
920000460,11,"         0,2","         0,4",,"         0,4",           2
920000635,11,"         0,1",           0,,           0,           0
920000643,11,"         0,6","         0,5",           1,"         0,2","         0,9"
920000650,11,"         1,1","         1,6","         1,8","         0,7","         1,8"
920000684,11,"         0,4","         0,5",           0,           0,"         0,3"
920008539,11,           0,,,           0,           0
920009909,11,"         0,5","         0,2","         1,6","         0,3","         0,2"
920026374,11,"         0,5","         0,2","         1,2","         0,1","         0,2"
920029550,11,"         0,3","         0,5",           0,"         0,3","         0,4"
920100013,11,"         1,3","         1,1",           0,"         0,7","         1,8"
920100021,11,           1,"         0,9","         2,3","         0,4","         0,6"
920100039,11,"         0,8","         1,2",           1,"         0,1","         1,3"
920100047,11,"         0,8","         0,4",           2,"         0,2","         0,6"
920100054,11,           1,"         0,2",,"         0,2","         0,1"
920100062,11,"         0,2",           0,"         0,3",           0,           0
920110020,11,"         0,3","         0,1","         0,7",           0,           0
920110053,11,"         0,1",           0,,,           0
920120011,11,"         0,4","         0,7",,"         0,3","         0,7"
920300043,11,"         1,1","         1,1","         1,3","         2,2",           1
920300183,11,"         0,6","         0,2",,"         0,5","         0,7"
920300191,11,"         0,2","         0,3",           0,"         0,8","         0,2"
920300266,11,"         0,1",           0,,,"         0,2"
920300365,11,"         0,2","         0,2",           0,"         0,9","         0,1"
920300415,11,"         0,1","         0,3",           0,"         0,6","         0,3"
920300597,11,"         0,4","         0,6",           0,"         0,9","         0,7"
920300712,11,           0,"         0,1",           0,"         1,3",           0
920300753,11,"         0,3","         1,2",           0,"         0,3","         0,2"
920300761,11,"         0,3","         0,4",           0,"         0,5","         0,7"
920300787,11,"         0,3","         0,5","         0,4","         0,5","         0,3"
920300837,11,"         0,2","         0,2",           0,"         0,8","         0,2"
920300845,11,           0,,,,"         0,1"
920300936,11,"         0,2","         0,3",,"         0,2","         0,2"
920301033,11,           0,           0,,,"         0,1"
920811775,11,,,,,
930014428,11,,,,,
930021480,11,"         0,8","         0,6","         1,3","         0,4","         0,9"
930022603,11,,,,,
930031406,11,,,,,
930100011,11,"         0,1",           0,,           0,"         0,1"
930100037,11,"         1,4",           1,"         0,4","         0,5","         1,6"
930100045,11,"         0,6","         0,1",           2,"         0,2","         0,2"
930110036,11,"         0,6","         0,5","         2,2","         0,3","         0,2"
930110051,11,"         1,1","         0,7","         2,6","         0,4","         0,5"
930110069,11,"         0,9","         0,8","         2,2","         0,4","         0,6"
930150032,11,           0,,"         0,7",,
930300025,11,"         0,4","         0,5","         0,2","         0,6","         0,2"
930300066,11,"         0,4","         0,3",,"         0,7","         0,2"
930300082,11,"         0,3","         0,4",           0,"         1,3","         0,2"
930300116,11,"         0,3","         0,5","         1,2","         0,8","         0,3"
930300264,11,           0,"         0,2",,"         0,3",           0
930300298,11,"         0,3","         0,3","         0,4","         0,4","         0,1"
930300553,11,"         0,3","         0,5","         0,9","         0,6","         0,3"
930300587,11,"         0,2","         0,1",,"         0,6","         0,1"
930300595,11,"         0,3","         0,4",           0,"         1,1","         0,4"
930300645,11,"         0,7","         0,6",,"         0,2","         0,2"
930817333,11,,,,,
940000078,11,,,,,
940000649,11,           1,"         0,8",           0,"         0,3","         0,5"
940000656,11,           0,           0,,,"         0,1"
940000664,11,           1,"         0,7",,"         0,4","         5,5"
940006679,11,"         0,3","         0,4",           1,"         1,1","         0,1"
