finess,zone,A1,A2,A3,A4,A5,A6
010007300,010007300,"         8,7",,,"         8,2","        16,9",
010008407,010007300,"         1,9",,,"         8,2","        16,9",
010780195,010007300,"         0,8",,,"         8,2","        16,9",
250000015,010007300,"         0,8",,,"         8,2","        16,9",
380780080,010007300,"         2,2","         0,6","         2,1","         8,2","        16,9",
690000880,010007300,           1,"         5,9","         2,1","         8,2","        16,9",
690023239,010007300,"         0,6","         5,9","         2,1","         8,2","        16,9",
690023411,010007300,"         0,9","         5,9","         2,1","         8,2","        16,9",
690041124,010007300,"         0,8","         5,9","         2,1","         8,2","        16,9",
690780648,010007300,"         0,8","         5,9","         2,1","         8,2","        16,9",
690781810,010007300,           7,"         1,6","         6,4","         8,2","        16,9",
730012499,010007300,"         0,7","         1,6","         6,4","         8,2","        16,9",
740014345,010007300,"         5,1","        36,9","         8,6","         8,2","        16,9",
740780416,010007300,"         1,8","         5,9","         1,6","         8,2","        16,9",
740780424,010007300,"         1,1","         9,1","         1,5","         8,2","        16,9",
740781133,010007300,"        56,9","         9,7","        46,9","         8,2","        16,9",
740790258,010007300,"         3,4","         4,3","         1,6","         8,2","        16,9",
740790381,010007300,"        12,1","         4,3","         1,6","         8,2","        16,9",
750160012,010007300,"         0,8","         4,3","         1,6","         8,2","        16,9",
010007987,010007987,"         0,3","         0,2",,,"         1,4",
010008407,010007987,"         7,1","         6,3",,,"         1,4",
010780054,010007987,"         6,2","        33,7","        26,2",,"         1,4",
010780062,010007987,"         2,4","         6,2","        26,2",,"         1,4",
010780195,010007987,"         3,1","        20,4","         8,4",,"         1,4",
010780203,010007987,"         3,8","         7,4","         5,5",,"         1,4",
380780080,010007987,           5,"         1,4","         5,5",,"         1,4",
690000880,010007987,"         8,3","         1,4","         5,5",,"         1,4",
690023239,010007987,"         1,9","         1,4","         5,5",,"         1,4",
690023411,010007987,"         2,2","         3,6","         5,5",,"         1,4",
690041124,010007987,"         1,4","         3,6","         5,5",,"         1,4",
690780259,010007987,"         1,4","         3,6","         5,5",,"         1,4",
690780648,010007987,"         1,4","         3,6","         5,5",,"         1,4",
690781810,010007987,"         7,9","        10,7","        15,6",,"         1,4",
730000015,010007987,"        12,5","         3,3","        15,6",,"         1,4",
730002839,010007987,"         3,4","         3,3","        15,6",,"         1,4",
730004298,010007987,"         3,2","         3,3","        15,6",,"         1,4",
740781133,010007987,          13,           4,"        15,6",,"         1,4",
740790258,010007987,"         3,5",           4,"        15,6",,"         1,4",
740790381,010007987,           4,           4,"        15,6",,"         1,4",
010007987,010008407,"         0,5","         1,6","        15,6",,"         1,4",
010008407,010008407,"        51,5","        33,1",          69,"        27,9",          36,           8
010780054,010008407,"        11,7",          11,"        16,9","         8,5",          21,"        52,8"
010780062,010008407,"         0,2",          11,"        16,9","         8,5",          21,"        52,8"
010780195,010008407,"         9,2","        10,1","        17,3","         8,3","        17,5","        52,8"
010780203,010008407,"         2,2","         2,6","         1,2","         4,6","         0,9","         0,4"
130041916,010008407,"         0,2","         2,6","         1,2","         4,6","         0,9","         0,4"
250000015,010008407,"         1,7","         2,6","         1,2","         4,6","         0,9","         0,4"
380780197,010008407,"         0,2","         2,6","         1,2","         4,6","         0,9","         0,4"
390780146,010008407,"         4,3",           5,"         1,3","         4,6","         0,9","         0,4"
390780161,010008407,"         2,9","         1,4","         2,9","         0,4","         0,9","         0,4"
390780559,010008407,"         5,2","         1,4","         2,9","         0,4","         0,9","         0,4"
420784878,010008407,"         0,4","         1,4","         2,9","         0,4","         0,9","         0,4"
690000880,010008407,"         1,1","         6,3","         9,2","         0,4","         0,9","         0,4"
690023239,010008407,"         3,1","         4,5","         9,2","         0,4","         0,9","         0,4"
690023411,010008407,"         1,7","         2,1","         3,4","         1,6","         0,9","         0,4"
690041124,010008407,           1,"         1,9","         0,5","         1,6","         0,9","         0,4"
690780259,010008407,"         1,8","         3,2","         0,5","         1,6","         0,9","         0,4"
690780648,010008407,"         0,5","         2,2","         1,4","         1,6","         0,9","         0,4"
690781810,010008407,"        14,3","        11,7","         3,2","         5,9","        16,2","         6,2"
690782222,010008407,"         0,3","        11,7","         3,2","         5,9","        16,2","         6,2"
