 First Stage Estimation Results 	lURG 	lMCO_HP 	lMCO_HC 	lSSR 	lPSY 	lSEANCES 	lUSLD 	lURG_PNL 	lMCO_HP_PNL 	lMCO_HC_PNL 	lSSR_PNL 	lPSY_PNL 	lSEANCES_PNL 	lUSLD_PNL 	lURG_PL 	lMCO_HP_PL 	lMCO_HC_PL 	lSSR_PL 	lPSY_PL 	lSEANCES_PL 	lUSLD_PL 	lURG_CHU 	lMCO_HP_CHU 	lMCO_HC_CHU 	lSSR_CHU 	lPSY_CHU 	lSEANCES_CHU 	lUSLD_CHU 	lduree_MCO
R-squared 	0.9967 	0.9623 	0.9867 	0.9793 	0.9851 	0.9675 	0.9665 	0.9288 	0.9653 	0.9933 	0.9918 	0.9521 	0.8868 	0.9277 	0.9822 	0.9784 	0.9919 	0.9793 	0.9868 	0.9212 	0.9400 	0.9883 	0.9684 	0.9924 	0.9557 	0.9620 	0.9635 	0.9058 	0.9608
Partial R-squared 	0.3905 	0.8254 	0.7855 	0.3528 	0.5183 	0.4929 	0.2596 	0.9201 	0.9517 	0.9899 	0.9785 	0.9399 	0.8549 	0.9117 	0.9735 	0.9483 	0.9799 	0.9498 	0.9793 	0.8598 	0.9369 	0.9760 	0.8506 	0.9572 	0.9017 	0.9443 	0.9171 	0.8643 	0.7178
Shea's R-squared 	0.1158 	0.6933 	0.6274 	0.2627 	0.4771 	0.3070 	0.2369 	0.6629 	0.7122 	0.8151 	0.8589 	0.8909 	0.4596 	0.8819 	0.6403 	0.7057 	0.7595 	0.8353 	0.9194 	0.4530 	0.9234 	0.4926 	0.6232 	0.7038 	0.7982 	0.8864 	0.6519 	0.8022 	0.5528
Partial F-statistic 	567.58 	9400.4 	5031.7 	685.73 	358.97 	521.04 	134.64 	7775.8 	4.533e+04 	2.441e+05 	1.507e+05 	2.154e+04 	4006.3 	2254.8 	1.334e+05 	7.562e+04 	3.612e+05 	2.043e+05 	4.419e+04 	1.006e+04 	1806.8 	3.754e+05 	5036.7 	3.567e+04 	1.676e+04 	1.872e+04 	1.739e+04 	2079.5 	4682.6
P-value (Partial F-stat) 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.443e-15 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000
Partial F-stat Distn 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29) 	chi2(29)
========================== 	=========== 	=========== 	=========== 	=========== 	============ 	=========== 	=========== 	=========== 	=========== 	============ 	=========== 	=========== 	=========== 	=========== 	=========== 	============== 	============ 	=========== 	============ 	=========== 	============ 	=========== 	=========== 	=========== 	=========== 	=========== 	============ 	============ 	===========
Intercept 	-0.0218 	-0.0319 	-0.0138 	-0.0731 	0.0687 	-0.0770 	-0.0265 	-0.0059 	-0.0061 	-0.0089 	-0.0132 	0.0115 	-0.0154 	-0.0083 	-0.0094 	-0.0185 	-0.0069 	-0.0624 	0.0050 	-0.0309 	-0.0023 	-0.0038 	-0.0125 	-0.0063 	-0.0315 	-0.0010 	-0.0033 	-0.0108 	-0.0138
	(-1.0977) 	(-0.7442) 	(-0.4071) 	(-2.5527) 	(2.8313) 	(-1.6384) 	(-1.0339) 	(-0.6459) 	(-0.9151) 	(-1.5142) 	(-1.7911) 	(1.3468) 	(-1.2560) 	(-1.8905) 	(-1.3389) 	(-1.8425) 	(-1.0864) 	(-3.1916) 	(1.0833) 	(-1.1941) 	(-1.0569) 	(-0.9388) 	(-1.3648) 	(-1.0340) 	(-2.4451) 	(-0.1573) 	(-0.5151) 	(-1.7930) 	(-0.9515)
Statut_PNL 	0.0044 	0.0119 	0.0291 	0.0608 	-0.0348 	-0.0818 	-0.0042 	-0.0779 	-0.0162 	0.0266 	0.0906 	0.0114 	-0.3104 	-0.0054 	0.0288 	0.0116 	0.0118 	0.0381 	-0.0029 	0.1163 	0.0019 	0.0117 	0.0161 	0.0069 	0.0213 	0.0025 	0.0210 	0.0072 	0.0032
	(0.1903) 	(0.2067) 	(0.7495) 	(1.4351) 	(-0.7688) 	(-1.2102) 	(-0.1441) 	(-2.3177) 	(-0.4099) 	(2.2096) 	(2.0494) 	(0.1920) 	(-3.5894) 	(-0.3191) 	(1.7113) 	(0.9131) 	(1.9987) 	(2.0940) 	(-0.5232) 	(3.1057) 	(1.0084) 	(1.0212) 	(1.7755) 	(1.2551) 	(2.0008) 	(0.2794) 	(2.0342) 	(1.2616) 	(0.1891)
Statut_PL 	0.0141 	0.0759 	-0.0335 	0.2077 	-0.0881 	-0.0337 	0.0198 	0.0120 	-0.0050 	0.0008 	0.0078 	-0.0440 	0.0471 	0.0045 	-0.0033 	0.1127 	0.0224 	0.2224 	0.0773 	-0.1548 	0.0004 	0.0039 	0.0040 	0.0032 	0.0197 	-0.0194 	0.0144 	0.0084 	-0.0129
	(0.6197) 	(0.8302) 	(-0.5724) 	(5.0429) 	(-1.9576) 	(-0.4809) 	(0.7466) 	(0.7093) 	(-0.6626) 	(0.1766) 	(1.1553) 	(-1.9897) 	(1.9516) 	(1.1762) 	(-0.0668) 	(1.2809) 	(0.5072) 	(4.1693) 	(1.5241) 	(-1.8991) 	(0.0878) 	(0.6174) 	(0.4344) 	(0.8833) 	(1.5818) 	(-1.3760) 	(1.4627) 	(1.4104) 	(-0.5997)
Statut_CHU 	-0.1376 	-0.0431 	0.0077 	0.1019 	0.1412 	-0.4663 	0.0777 	-0.0404 	-0.0373 	-0.0375 	0.0123 	0.0051 	0.0762 	-0.0143 	-0.0347 	-0.1118 	-0.0263 	0.0886 	0.0038 	0.1943 	-0.0040 	0.0172 	0.2919 	0.3564 	-0.0066 	0.1496 	-0.8703 	0.1303 	-0.0541
	(-1.7499) 	(-0.1517) 	(0.0302) 	(0.7728) 	(1.2914) 	(-1.7540) 	(1.0100) 	(-1.5160) 	(-1.6595) 	(-1.3049) 	(0.7592) 	(0.1507) 	(1.3940) 	(-1.0823) 	(-1.4808) 	(-1.8636) 	(-0.6669) 	(1.4641) 	(0.2661) 	(1.5956) 	(-0.8301) 	(0.3169) 	(0.9278) 	(1.2434) 	(-0.0280) 	(1.2956) 	(-1.9114) 	(1.5133) 	(-0.6100)
I_PSY 	0.1028 	-0.1408 	-0.1944 	-0.1907 	4.2964 	-0.0547 	0.0251 	0.0373 	-0.0277 	-0.0536 	-0.0138 	1.1843 	-0.3136 	-0.0014 	0.0182 	-0.0032 	0.0073 	-0.0488 	0.4823 	0.1066 	-0.0007 	0.0056 	-0.0346 	-0.0582 	0.2133 	0.7331 	-0.0061 	0.0186 	-0.0093
	(1.5713) 	(-1.2191) 	(-2.1822) 	(-1.6708) 	(7.2352) 	(-0.2468) 	(0.5589) 	(1.2940) 	(-0.8385) 	(-0.9637) 	(-0.4820) 	(2.2630) 	(-0.9604) 	(-0.1146) 	(0.8934) 	(-0.1334) 	(0.4981) 	(-0.6083) 	(1.3056) 	(0.9837) 	(-0.3048) 	(0.4687) 	(-0.4669) 	(-0.8965) 	(1.4361) 	(1.9539) 	(-0.0955) 	(0.9133) 	(-0.2810)
