BOR;AN;FI;FI_EJ;PERSO;EFFCDI;ETPCDI;EFFCDD;ETPCDD;ETPTIT;EFFTIT;EFFPNM;ETPPNM
Q23;2019;010000024;010780054;N1000;17;17.34;47;31.22;185.41;199;263;233.97
Q23;2019;010000024;010780054;N1100;1;1.1;;;5.19;6;7;6.29
Q23;2019;010000024;010780054;N1210;;0.17;3;3.86;95.56;99;102;99.59
Q23;2019;010000024;010780054;N1220;16;16.07;44;27.36;83.66;93;153;127.09
Q23;2019;010000024;010780054;N1400;;;;;1;1;1;1
Q23;2019;010000024;010780054;N2000;31;20.77;118;115.06;909.3;979;1128;1045.13
Q23;2019;010000024;010780054;N2120;1;1;;;32.26;34;35;33.26
Q23;2019;010000024;010780054;N2210;2;1;36;43.35;380.44;418;456;424.79
Q23;2019;010000024;010780054;N2310;;;;;25.06;28;28;25.06
Q23;2019;010000024;010780054;N2320;;;1;0.52;25.35;28;29;25.87
Q23;2019;010000024;010780054;N2340;;;4;2.12;26.61;29;33;28.73
Q23;2019;010000024;010780054;N2410;6;3.42;2;0.63;6.33;7;15;10.38
Q23;2019;010000024;010780054;N2420;;;1;0.23;;;1;0.23
Q23;2019;010000024;010780054;N2430;1;0.8;1;0.08;;;2;0.88
Q23;2019;010000024;010780054;N2450;1;0.5;2;2.35;4.16;6;9;7.01
Q23;2019;010000024;010780054;N2460;2;1.23;;0.5;1.82;4;6;3.55
Q23;2019;010000024;010780054;N2470;;;1;0.07;;;1;0.07
Q23;2019;010000024;010780054;N2510;;;30;24.99;282.68;289;319;307.67
Q23;2019;010000024;010780054;N2530;;;4;4.23;32.17;36;40;36.4
Q23;2019;010000024;010780054;N2610;7;5.86;29;29.06;53.56;55;91;88.48
Q23;2019;010000024;010780054;N2710;10;6.71;3;1.36;2.16;3;16;10.23
Q23;2019;010000024;010780054;N2800;1;0.25;4;5.57;36.7;42;47;42.52
Q23;2019;010000024;010780054;N3000;;;6;1.95;7.39;9;15;9.34
Q23;2019;010000024;010780054;N3120;;;2;0.85;6.03;7;9;6.88
Q23;2019;010000024;010780054;N3130;;;4;1.1;1.36;2;6;2.46
Q23;2019;010000024;010780054;N4000;3;3;13;12.91;91.75;93;109;107.66
Q23;2019;010000024;010780054;N4110;;;3;3.54;28.9;30;33;32.44
Q23;2019;010000024;010780054;N4120;;;7;7.51;20.78;22;29;28.29
Q23;2019;010000024;010780054;N4130;;;3;1.86;37.66;38;41;39.52
Q23;2019;010000024;010780054;N4160;1;1;;;4.41;3;4;5.41
Q23;2019;010000024;010780054;N4180;2;2;;;;;2;2
Q23;2019;010000024;010780054;N5000;17;16.29;49;45.81;161.38;164;230;223.48
Q23;2019;010000024;010780054;N5110;5;5;;;5;5;10;10
Q23;2019;010000024;010780054;N511A;4;3.32;5;6.83;21.92;25;34;32.07
Q23;2019;010000024;010780054;N5120;4;4.57;;;;;4;4.57
Q23;2019;010000024;010780054;N5130;4;3.4;41;36.59;125.29;125;170;165.28
Q23;2019;010000024;010780054;N5140;;;3;2.39;9.17;9;12;11.56
Q23;2019;010000024;010780054;N9999;68;57.4;233;206.95;1355.23;1444;1745;1619.58
Q23;2019;010000032;010780062;N1000;7;5.79;10;9.42;43.24;45;62;58.45
Q23;2019;010000032;010780062;N1100;;;;;2;2;2;2
Q23;2019;010000032;010780062;N1210;;;;0.02;9.64;10;10;9.66
Q23;2019;010000032;010780062;N1220;7;5.79;10;9.4;31.6;33;50;46.79
Q23;2019;010000032;010780062;N2000;58;64.53;42;40.35;231.66;212;312;336.54
Q23;2019;010000032;010780062;N2120;1;1;1;1.26;11.42;10;12;13.68
Q23;2019;010000032;010780062;N2130;;;;;0.4;2;2;0.4
Q23;2019;010000032;010780062;N2210;25;21.96;4;6.72;76.75;69;98;105.43
Q23;2019;010000032;010780062;N2310;;;;;2.68;4;4;2.68
Q23;2019;010000032;010780062;N2320;;;;;2.86;3;3;2.86
Q23;2019;010000032;010780062;N2410;3;2.5;;0.7;1;1;4;4.2
Q23;2019;010000032;010780062;N2430;;;;0.21;0.65;1;1;0.86
Q23;2019;010000032;010780062;N2440;;;2;0.05;;;2;0.05
Q23;2019;010000032;010780062;N2450;;;;;1;1;1;1
Q23;2019;010000032;010780062;N2460;1;1.53;1;0.5;2;2;4;4.03
Q23;2019;010000032;010780062;N2510;13;18.63;4;7.02;81.88;72;89;107.53
Q23;2019;010000032;010780062;N2530;;;3;2.98;2.75;3;6;5.73
