FINESS;Raison sociale;Commune;Statut Juridique;Région
010000024;010000024 - CH DE FLEYRIAT;VIRIAT;Public;84 - Auvergne-Rhône-Alpes
010000032;010000032 - CH BUGEY SUD;BELLEY;Public;84 - Auvergne-Rhône-Alpes
010000065;010000065 - CH DE TREVOUX - MONTPENSIER;TREVOUX;Public;84 - Auvergne-Rhône-Alpes
010000081;010000081 - CH DU PAYS DE GEX;GEX;Public;84 - Auvergne-Rhône-Alpes
010000099;010000099 - CH DE MEXIMIEUX;MEXIMIEUX;Public;84 - Auvergne-Rhône-Alpes
010000107;010000107 - CH DE PONT DE VAUX;PONT DE VAUX;Public;84 - Auvergne-Rhône-Alpes
010000115;010000115 - CHI AIN VAL DE SAONE - PONT VEYLE;PONT DE VEYLE;Public;84 - Auvergne-Rhône-Alpes
010000131;010000131 - CHI AIN VAL DE SAONE - THOISSEY;THOISSEY;Public;84 - Auvergne-Rhône-Alpes
010000180;010000180 - CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;PLATEAU D HAUTEVILLE;Public;84 - Auvergne-Rhône-Alpes
010000198;010000198 - CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;PLATEAU D HAUTEVILLE;Public;84 - Auvergne-Rhône-Alpes
010000214;010000214 - CH PUBLIC HAUTEVILLE - UNITE ALBARINE;PLATEAU D HAUTEVILLE;Public;84 - Auvergne-Rhône-Alpes
010000495;010000495 - CENTRE PSYCHOTHERAPIQUE DE L'AIN;BOURG EN BRESSE;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010002129;010002129 - CLINIQUE LES ARBELLES;BOURG EN BRESSE;Privé lucratif;84 - Auvergne-Rhône-Alpes
010005239;010005239 - CH DU HAUT BUGEY - GEOVREISSET;OYONNAX;Public;84 - Auvergne-Rhône-Alpes
010005379;010005379 - HAD DE L'HOPITAL PRIVE D'AMBERIEU;AMBERIEU EN BUGEY;Privé lucratif;84 - Auvergne-Rhône-Alpes
010006526;010006526 - AURAL UNITE DIALYSE CH HAUT BUGEY;OYONNAX;Privé non lucratif;84 - Auvergne-Rhône-Alpes
010007300;010007300 - CLINIQUE AMBULATOIRE CENDANEG;PREVESSIN MOENS;Privé lucratif;84 - Auvergne-Rhône-Alpes
